jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,date
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,5/2007
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,6/2007
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,7/2007
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,8/2007
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,0,9/2007
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0,10/2007
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,11/2007
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,75,0,12/2007
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,1/2008
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,77,0,2/2008
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,0,3/2008
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,4/2008
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,5/2008
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0,6/2008
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,82,0,7/2008
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,83,0,8/2008
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,84,0,9/2008
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85,0,10/2008
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,86,0,11/2008
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,87,0,12/2008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,1/2009
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,2/2009
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,3/2009
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,0,4/2009
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,0,5/2009
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,6/2009
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,7/2009
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,0,8/2009
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96,0,9/2009
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,0,10/2009
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,98,0,11/2009
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,12/2009
