Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
6/1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/1996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/1999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
