Date,Domestic LCC RPMs,Total Domestic RPMs
5/2014,14350592527,51418798451
6/2014,15321810281,53874220297
7/2014,16289758859,56735294133
8/2014,15189372844,54531575724
9/2014,12792436289,46311140054
10/2014,14012852502,50120091291
11/2014,13442440243,46383433268
12/2014,14667763212,50309218968
1/2015,13085827248,45110322846
2/2015,12317638348,42206397024
3/2015,16145164188,53873247261
4/2015,15463324669,51799528572
5/2015,16039232297,54146865852
6/2015,16596727684,56760185061
7/2015,18014198889,60303633967
8/2015,16630353850,57700661118
9/2015,14601444536,49854826332
10/2015,15948736798,54071780960
11/2015,15600386992,50915494282
12/2015,16315182337,53104301690
1/2016,14787550686,48058489936
2/2016,14417145454,46418725449
3/2016,17701807085,56672415865
4/2016,16590755251,53510278311
5/2016,17360594259,56863230405
6/2016,18459208297,60191054460
7/2016,19154010612,62232769835
8/2016,17712957941,59037335327
9/2016,16198615752,52677191991
10/2016,17047862737,55322207318
11/2016,16981788769,53272376087
12/2016,17281191264,54790128135
1/2017,15944084006,50133735954
2/2017,14880661364,46496767254
3/2017,18799884107,58786617167
4/2017,18362234905,56261698863
5/2017,18498222634,58964299913
6/2017,19561258533,62379474159
7/2017,20447100298,64891508343
8/2017,19106279417,62438180269
9/2017,15723933703,51895974238
10/2017,18075282074,58293041012
11/2017,18042626938,55933348472
12/2017,18254950750,56955892029
1/2018,16852847089,51715107148
2/2018,16121268916,49477939186
3/2018,20302893248,61729296902
4/2018,19265847628,59346312624
5/2018,19973986102,62413736881
6/2018,20949420480,66050695199
7/2018,21806674029,69033845565
8/2018,20315741288,66025874648
9/2018,17360461006,55486528023
10/2018,19403621200,61065685975
11/2018,19313419068,58865417306
12/2018,19378534306,59501974125
1/2019,17457085616,54370838384
2/2019,16775933920,51401866863
3/2019,21352345178,65410585793
4/2019,20053972228,61931712216
5/2019,20970860263,65793359873
6/2019,21341177394,68357283258
7/2019,22307362870,71230170772
8/2019,20760428217,68125369920
9/2019,17998517524,58272961361
10/2019,20284508571,63393387515
11/2019,19502356963,59253230565
12/2019,21120633141,65346264617
1/2020,18209453210,57685825985
2/2020,17905307666,55382246128
3/2020,10998624826,32536517473
