Months_After_9/11,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf_War_Recession,Leap_Feb,Great_Recession,Thanksgiving_n,Thanksgiving_d,Unemployement,Labor_Force,RPMs,Date,CPG,9/11,Avg,Avgd,MSC
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.2,139622.0,36419975823,9/1999,0.61,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1,139771.0,40212679156,10/1999,0.6,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.1,140025.0,38667547293,11/1999,0.66,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,140177.0,37976916911,12/1999,0.7,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,142267.0,34662955361,1/2000,0.78,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.1,142456.0,35775532735,2/2000,0.78,0.0,0.0,0.0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,142434.0,43616754553,3/2000,0.77,0.0,0.0,0.0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,142751.0,41779554346,4/2000,0.72,0.0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,142388.0,42864606256,5/2000,0.76,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,142591.0,45597468417,6/2000,0.79,0.0,0.0,0.0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,142278.0,47247342384,7/2000,0.8,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.1,142514.0,46248004926,8/2000,0.9,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9,142518.0,38123712929,9/2000,1.02,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.9,142622.0,41588848453,10/2000,0.98,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.9,142962.0,40514376649,11/2000,1.03,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.9,143248.0,39431366321,12/2000,0.86,0.0,0.0,0.0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,143800.0,36966493330,1/2001,0.87,0.0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,143701.0,35592936818,2/2001,0.82,0.0,0.0,0.0,0
